date,median,low95,high95
2020-12-02,17067.116409417013,12480.067433135342,23573.10139887532
2020-12-03,16920.94924220079,12101.76045602738,24313.585285242338
2020-12-04,16744.72135970637,11684.340066349469,25113.63717947843
2020-12-05,16569.17237743207,11179.59048931038,26136.78250998132
2020-12-06,16351.352083070145,10782.39363132388,27194.918025945455
2020-12-07,16107.849904966086,10411.28985154067,27796.901942397722
2020-12-08,15832.1572171923,9882.067031264836,28773.003885685644
2020-12-09,15731.847868110355,9537.488273856141,29802.705702781284
2020-12-10,15427.15335181591,9141.651346694704,30861.524898152384
2020-12-11,15175.305223158219,8606.848257966576,31952.15374933439
2020-12-12,15121.686375445672,8181.099023972788,33077.06951086667
2020-12-13,15082.045955276,7713.88731910887,34238.35981690941
2020-12-14,15030.043888706161,7272.485610577403,35437.89107810184
