date,median,low95,high95
2020-12-02,22306.7848660082,16988.24778291143,28927.32701300216
2020-12-03,21684.42094660196,16221.06547057506,28972.111962339797
2020-12-04,21090.253129715595,15620.877158899586,29019.18841475882
2020-12-05,20527.27275801773,15162.277154396792,29023.44962476656
2020-12-06,19905.21412466051,14338.58827182091,28988.65541297871
2020-12-07,19198.60463844556,13761.1069910882,28910.37437170271
2020-12-08,18560.81248454611,13285.771862775093,28928.439461862534
2020-12-09,18052.395225166576,12671.593611246026,29290.406826789145
2020-12-10,17594.750423011865,11905.295653055966,29944.993386780603
2020-12-11,16914.903116077672,10947.766812285961,30624.99548848898
2020-12-12,16315.28656672131,10029.281479527634,31327.678222775452
2020-12-13,15970.171965404592,9180.029347292972,31895.204042344907
2020-12-14,15370.750394062748,8397.223909448103,32145.712095816994
