date,median,low95,high95
2020-12-02,30529.687766802555,22712.207181583104,41971.83707607626
2020-12-03,31233.754699370613,22651.996192132603,44469.13610439825
2020-12-04,32048.248194956963,22961.12170930103,47531.99363178901
2020-12-05,32835.6799886839,23399.702473273304,50299.25626396537
2020-12-06,33366.55405883497,22843.672492699876,52355.79892595821
2020-12-07,34143.810288112916,22359.320785564953,55922.68081841825
2020-12-08,34983.1174518725,22293.841171379012,60540.780352569294
2020-12-09,35697.17312539426,22092.189141299423,64535.71729015753
2020-12-10,36550.23652168254,21665.439369477615,68653.73718298461
2020-12-11,37834.573488778056,21410.349372037796,74766.4209058118
2020-12-12,38602.187047111234,20893.60578077152,81053.72846154956
2020-12-13,39703.92896558184,20367.420381100776,87765.15117484746
2020-12-14,40558.10647789585,19732.63961730596,95006.98097034293
